Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,TCS.NS
08-11-2021,761.1389771,756.7608032,1559.763916,1846.958862,1138.417358,3163.432373
09-11-2021,747.821106,762.96875,1564.252319,1865.240723,1147.403809,3166.096924
10-11-2021,739.7352905,757.4882202,1562.142822,1871.526733,1160.235229,3146.77002
11-11-2021,736.4295654,748.3215332,1555.993652,1853.820435,1162.350952,3150.291992
12-11-2021,738.6651001,753.3171387,1598.095703,1880.931519,1179.891724,3184.47583
15-11-2021,740.6865234,750.1160889,1604.334839,1868.551636,1172.930054,3209.085205
16-11-2021,736.2868652,741.1434326,1608.95813,1876.469116,1145.674805,3211.885498
17-11-2021,728.105896,738.4758911,1604.604126,1874.165771,1121.149658,3180.727295
18-11-2021,732.1963501,740.0279541,1597.377686,1820.519653,1125.381226,3139.002441
22-11-2021,720.7572632,729.4547119,1579.423462,1789.329834,1075.534668,3123.378662
23-11-2021,720.852417,729.3092041,1559.22522,1810.29895,1085.590454,3128.662354
24-11-2021,722.0415649,737.4088745,1522.508911,1787.410522,1069.915283,3109.742188
25-11-2021,725.7990723,728.5332031,1546.208374,1775.318481,1134.322144,3112.0896
26-11-2021,708.6523438,700.5481567,1518.604004,1706.461182,1097.761963,3112.947754
29-11-2021,714.0508423,696.8621216,1522.82312,1696.000488,1110.911865,3162.755127
30-11-2021,710.3884277,692.9334106,1537.455688,1693.60144,1094.485962,3187.274902
01-12-2021,715.6680298,705.8831787,1539.475586,1713.994751,1122.514648,3231.212646
02-12-2021,725.7039795,700.7421265,1569.414063,1717.065674,1129.726563,3290.005615
03-12-2021,719.9011841,694.8249512,1558.013184,1728.629761,1095.782715,3287.793213
06-12-2021,715.2636719,688.2773438,1521.880737,1710.779785,1075.011475,3193.82251
07-12-2021,725.6801147,712.6248779,1536.558105,1725.606812,1083.770386,3237.263184
08-12-2021,739.0455322,730.8128052,1573.992432,1751.470337,1100.264526,3275.555664
09-12-2021,726.2271118,732.3647461,1583.059082,1804.013062,1117.714233,3252.842529
10-12-2021,724.1819458,735.2747803,1579.288818,1797.870972,1118.851807,3284.496826
13-12-2021,718.7596436,731.3947144,1566.182373,1786.450806,1096.419678,3259.977295
14-12-2021,714.621521,735.9053345,1572.915161,1790.481445,1082.996826,3272.756104
15-12-2021,713.4562988,729.6972046,1556.801392,1804.972778,1079.834595,3224.483887
16-12-2021,713.5038452,718.9299927,1590.375366,1798.350952,1093.803345,3234.644531
17-12-2021,700.6378784,706.465271,1634.587524,1772.631226,1064.932861,3237.127686
20-12-2021,678.0926514,688.6654663,1614.882935,1726.806519,1036.22168,3212.336914
21-12-2021,685.774231,698.75354,1626.283569,1753.869507,1051.646484,3258.758057
22-12-2021,687.3913574,710.8303223,1638.043579,1795.567871,1076.604004,3279.033203
23-12-2021,686.868103,709.3753052,1667.578125,1802.717407,1076.217163,3307.887939
24-12-2021,684.3948364,705.3012085,1672.874756,1784.435425,1079.652588,3315.293701
27-12-2021,690.0549316,713.9343262,1675.25354,1790.961182,1078.49231,3338.052002
28-12-2021,694.8112183,713.7404175,1694.868408,1822.918823,1091.300781,3347.48999
29-12-2021,691.5056152,713.6433716,1692.669189,1818.456177,1093.166504,3336.787842
30-12-2021,695.1442871,713.6433716,1699.222168,1809.675171,1073.418945,3372.054932
31-12-2021,703.6580811,717.9599609,1694.643921,1819.464111,1077.536743,3376.209961
03-01-2022,722.8025513,741.7739258,1704.24939,1845.327393,1093.78064,3447.917969
04-01-2022,727.0357056,749.6795044,1704.87793,1859.434814,1118.465088,3508.427246
05-01-2022,744.3013306,764.4238892,1655.952759,1870.039185,1123.697632,3486.933105
06-01-2022,732.362854,761.5137939,1631.849609,1846.910889,1099.536499,3438.615967
07-01-2022,737.4998169,769.4680176,1628.70752,1828.101074,1108.409302,3480.204346
